CI / CUI,Descripción,Modalidad,Entidad Publica,Departamento,Valor del Proyecto,Documento Tecnico Actual,coordenadas,estado,probable fecha de firma de convenio
2731794,MEJORAMIENTO DEL SERVICIO DE PRÁCTICA DEPORTIVA Y/O RECREATIVA EN 17 (LOZAS) UNIDADES PRODUCTORAS 8 CENTROS POBLADOS 14 DISTRITOS DE 7 PROVINCIAS DEL DEPARTAMENTO DE JUNIN,Proyecto de Inversión ,GOBIERNO REGIONAL DE JUNIN,JUNIN,"S/72,132,723.01",PERFIL TECNICO,-10.7020474542317420 / -77.74672800021110,CONVOCATORIA,
2664242,MEJORAMIENTO DEL SERVICIO DE MOVILIDAD URBANA EN LAS CALLES DE LA URB. LA ARBOLEDA Y SAN ELOY DISTRITO DE TRUJILLO DE LA PROVINCIA DE TRUJILLO DEL DEPARTAMENTO DE LA LIBERTAD,Proyecto de Inversión ,GOBIERNO REGIONAL DE LA LIBERTAD,LA LIBERTAD,"S/8,109,361.86",PERFIL TECNICO,-8.1297780352166310 / -79.03356568842793,CONVOCATORIA,05/10/26
2664243,MEJORAMIENTO DEL SERVICIO DE MOVILIDAD URBANA EN LAS CALLES DE LA URB. RAZURI DISTRITO DE TRUJILLO DE LA PROVINCIA DE TRUJILLO DEL DEPARTAMENTO DE LA LIBERTAD,Proyecto de Inversión ,GOBIERNO REGIONAL DE LA LIBERTAD,LA LIBERTAD,"S/7,447,812.80",PERFIL TECNICO,-8.0982561373580850 / -79.00948917447093,CONVOCATORIA,29/10/26
SIN CODIGO,"MANTENIMIENTO DE PISTAS Y VEREDAS EN EL DISTRITO DE LA ESPERANZA, PROVINCIA DE TRUJILLO, DEPARTAMENTO DE LA LIBERTAD",Proyecto de Inversión ,MUNICIPALIDAD DISTRITAL  LA ESPERANZA,LA LIBERTAD,"S/12,000,000.00",EN REGISTRO,-11.4971446774444350 / -77.20424497394553,ACTOS PREVIOS - PDS,
SIN CODIGO,INTERCAMBIO VIAL,Proyecto de Inversión ,GOBIERNO REGIONAL DE LAMBAYEQUE,LAMBAYEQUE,"S/25,000,000.00",EN REGISTRO,-4.9369935229064120 / -80.33469201423210,ACTOS PREVIOS - PDS,
2636163,"CREACION DE LOS SERVICIOS DE PROTECCIÓN EN RIBERAS DE RÍO VULNERABLES ANTE EL PELIGRO EN LA MARGEN DERECHA DEL RÍO PATIVILCA, SECTOR PUNTIZUELA, MOLINO ALTO, ALIZO, PUENTE BOLIVAR DEL SUB-SECTOR HIDRÁULICO GALPÓN DISTRITO DE PATIVILCA DE LA PROVINCIA DE BARRANCA DEL DEPARTAMENTO DE LIMA",Proyecto de Inversión ,GOBIERNO REGIONAL DE LIMA,LIMA,"S/15,310,250.00",PERFIL TECNICO,-4.8006564858695030 / -80.35621405936750,ACTOS PREVIOS - PDS,
346823,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE FORMACIÓN DE PREGRADO EN EDUCACIÓN SUPERIOR UNIVERSITARIA EN UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS DE LA SEDE CHILCA   DISTRITO DE CHILCA DE LA PROVINCIA DE CAÑETE DEL DEPARTAMENTO DE LIMA,Proyecto de Inversión ,GOBIERNO REGIONAL DE LIMA,LIMA,"S/99,750,000.00",PERFIL TECNICO,-4.8339765690520980 / -80.26961803830297,PRIORIZACION,
2558478,"MEJORAMIENTO DEL SERVICIO DEPORTIVO DEL COMPLEJO DEPORTIVO Y RECREACIONAL LUIS JALLIME EN LA CIUDAD DE HUARAL, DISTRITO DE HUARAL - PROVINCIA DE HUARAL - DEPARTAMENTO DE LIMA",Proyecto de Inversión ,MUNICIPALIDAD PROVINCIAL DE HUARAL,LIMA,"S/24,663,769.38",PERFIL TECNICO,-4.9510477384186970 / -80.58486008917612,PRIORIZACION,
509829,"OPTIMIZACIÓN ADQUISICIÓN DE VEHÍCULO DE INTERVENCIÓN RÁPIDA, VEHÍCULO DE EQUIPAMIENTO LOGÍSTICO, MOTOBOMBA, GENERADOR ELÉCTRICO, POLARIS CONTRAINCENDIOS, BARRERA CANALIZADOR CONTRA INUNDACIONES, SISTEMA MODULAR PORTÁTIL PARA CONTENCIÓN Y PREVENCIÓN DE DESASTRES, ESTACIÓN GNSS PERMANENTE, CÁMARA FRIGORÍFICA, DRON DE EXTINCIÓN DE INCENDIOS, DRON DE INSPECCIÓN, TANQUES FLEXIBLES Y OTROS EQUIPOS COMPLEMENTARIOS PARA LA ATENCIÓN DE EMERGENCIAS, PREVENCIÓN Y MITIGACIÓN DE RIESGOS EN EL COER MOQUEGUA",Proyecto de Inversión ,GOBIERNO REGIONAL DE MOQUEGUA,MOQUEGUA,"S/23,790,000.00",EN REGISTRO,-4.930787869143492/ -80.34396408097615,PRIORIZACION,
549406,"MEJORAMIENTO DE LOS SERVICIOS OPERATIVOS O MISIONALES INSTITUCIONALES EN UNIDAD DE EQUIPO MECANICO Y TRANSPORTE DE LAS MUNICIPALIDADES DEL DEPARTAMENTO DE PASCO, DISTRITO DE YANACANCHA DE LA PROVINCIA DE PASCO, DEPARTAMENTO DE PASCO - MAQUINARIA",Proyecto de Inversión ,GOBIERNO REGIONAL PASCO,PASCO,"S/68,139,505.00",EN REGISTRO,-3.98233298181151 / -80.66072612949470,ACTOS PREVIOS - PDS,25/09/26
2704599,"REPARACION DE SISTEMA DE TRATAMIENTO DE AGUAS RESIDUALES; ADQUISICION DE SISTEMA Y EQUIPO DE BOMBEO; RENOVACION DE ESTACION DE BOMBEO DE DESAGÜE; ADEMÁS DE OTROS ACTIVOS EN EL(LA) PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES - PTAR DEL SISTEMA DE ALCANTARILLADO DEL CASCO URBANO DE LA CIUDAD DE TAMBOGRANDE, DISTRITO DE TAMBO GRANDE, PROVINCIA PIURA, DEPARTAMENTO PIURA",IOARR,MUNICIPALIDAD DISTRITAL DE  TAMBO GRANDE,PIURA,"S/4,218,870.15",EXPEDIENTE TECNICO,-3.5066430891504834 / -80.27228772507979,PRIORIZACION,
2710624,"REPARACION DE RESERVORIO; ADQUISICION DE EQUIPO DE BOMBEO; CONSTRUCCION DE CERCO PERIMETRICO; REMODELACION DE INFRAESTRUCTURA DE ALMACENAMIENTO; ADEMÁS DE OTROS ACTIVOS EN EL(LA) PLANTA DE TRATAMIENTO DE AGUA POTABLE -PTAP CERRO EL EREO Y RESERVORIOS DE AGUA CRUDA EN CP HUACA BLANCA DEL SISTEMA DE AGUA POTABLE DE LA CIUDAD DE TAMBOGRANDE Y ANEXOS, DISTRITO DE TAMBO GRANDE, PROVINCIA PIURA, DEPARTAMENTO PIURA",IOARR,MUNICIPALIDAD DISTRITAL DE TAMBO GRANDE,PIURA,"S/5,927,071.27",EXPEDIENTE TECNICO,-3.5538484650563236/ -80.43413932182938,PRIORIZACION,
2652760,CREACION DEL SERVICIO DE MOVILIDAD URBANA EN EL A.H. TUPAC AMARU DE CENTRO POBLADO CRUCETA DISTRITO DE TAMBO GRANDE DE LA PROVINCIA DE PIURA DEL DEPARTAMENTO DE PIURA,Proyecto de Inversión ,MUNICIPALIDAD DISTRITAL DE TAMBO GRANDE,PIURA,"S/6,513,647.05",EXPEDIENTE TECNICO,-3.47992849 / -80.249020,PRIORIZACION,
2622312,MEJORAMIENTO DEL SERVICIO DE PROVISIÓN DE AGUA PARA RIEGO EN EL CANAL SEOANE DE CENTRO POBLADO MANUEL SEOANE DISTRITO DE TAMBO GRANDE DE LA PROVINCIA DE PIURA DEL DEPARTAMENTO DE PIURA,Proyecto de Inversión ,MUNICIPALIDAD DISTRITAL DE TAMBO GRANDE,PIURA,"S/2,058,798.80",EXPEDIENTE TECNICO,-3.5003434499999457 / -80.27448659999999,PRIORIZACION,
2362976,"MEJORAMIENTO DEL SERVICIO DE AGUA DEL SISTEMA DE RIEGO DEL CANAL SAN JUAN SECTOR MANCO INCA VALLE DE LOS INCAS, DISTRITO DE TAMBO GRANDE - PIURA - PIURA",Proyecto de Inversión ,MUNICIPALIDAD DISTRITAL DE TAMBO GRANDE,PIURA,"S/6,910,525.28",EXPEDIENTE TECNICO,-4.85498103635466 / -80.22329810296894,PRIORIZACION,
2597837,MEJORAMIENTO DEL SERVICIO DE EDUCACION PRIMARIA EN 14141 - TAMBO GRANDE DE CENTRO POBLADO PUEBLO NUEVO DISTRITO DE TAMBO GRANDE DE LA PROVINCIA DE PIURA DEL DEPARTAMENTO DE PIURA,Proyecto de Inversión ,MUNICIPALIDAD DISTRITAL DE TAMBO GRANDE,PIURA,"S/2,903,077.68",EXPEDIENTE TECNICO,-4.92283140063783 / -80.34437896073716,PRIORIZACION,
2692301,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE URBANO Y MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE ALCANTARILLADO EN EL AH LOS ALMENDROS DISTRITO DE TAMBO GRANDE DE LA PROVINCIA DE PIURA DEL DEPARTAMENTO DE PIURA,Proyecto de Inversión ,MUNICIPALIDAD DISTRITAL DE TAMBO GRANDE,PIURA,"S/8,863,099.97",PERFIL TECNICO,-4.9193611378161490 / -80.33823789454970,PRIORIZACION,
2713283,CREACION DEL SERVICIO DE AGUA POTABLE URBANO Y CREACION DEL SERVICIO DE ALCANTARILLADO EN EL AH GODOFREDO GARCIA BACA DISTRITO DE TAMBO GRANDE DE LA PROVINCIA DE PIURA DEL DEPARTAMENTO DE PIURA,Proyecto de Inversión ,MUNICIPALIDAD DISTRITAL DE TAMBO GRANDE,PIURA,"S/3,316,625.52",PERFIL TECNICO,-12.870981458964689/ -72.44670589070547,PRIORIZACION,
2327733,MEJORAMIENTO DEL SERVICIO DE PRACTICA DEPORTIVA Y/O RECREATIVA EN COMPLEJO DEPORTIVO ALBERTO TERRANOVA SANCHEZ DISTRITO DE TUMBES DE LA PROVINCIA DE TUMBES DEL DEPARTAMENTO DE TUMBES,Proyecto de Inversión ,GOBIERNO REGIONAL DE TUMBES,TUMBES,"S/8,158,187.00",EN REGISTRO,-11.38021057799763 / -75.28630726654673,PRIORIZACION,
2735335,"MEJORAMIENTO DE LOS SERVICIOS OPERATIVOS O MISIONALES INSTITUCIONALES EN UNIDAD DE EQUIPO MECANICO Y TRANSPORTE DE GR TUMBES 
DISTRITO DE TUMBES DE LA PROVINCIA DE TUMBES DEL DEPARTAMENTO DE TUMBES - MAQUINARIA",Proyecto de Inversión ,GOBIERNO REGIONAL DE TUMBES,TUMBES,"S/20,698,169.99",PERFIL TECNICO,-6.702089370624432/ -79.90371785387421,PRIORIZACION,
2735242,MEJORAMIENTO DE LOS SERVICIOS OPERATIVOS O MISIONALES INSTITUCIONALES EN OFREGERD DISTRITO DE TUMBES DE LA PROVINCIA DE TUMBES DEL DEPARTAMENTO DE TUMBES BIENES -  ALEXIS MARQUINA,Proyecto de Inversión ,GOBIERNO REGIONAL DE TUMBES,TUMBES,"S/42,794,628.00",PERFIL TECNICO,'-3.5572532220113150 / -80.45230317991320,PRIORIZACION,
2447192,CREACION DEL TERMINAL TERRESTRE DE PASAJEROS DE LA CUIDAD DE AGUAS VERDES DEL DISTRITO DE AGUAS VERDES - PROVINCIA DE ZARUMILLA - DEPARTAMENTO DE TUMBES,Proyecto de Inversión ,MUNICIPALIDAD DISTRITAL DE AGUAS VERDES,TUMBES,"S/32,766,533.48",PERFIL TECNICO,-10.37097785972795/-76.44436846307970,PRIORIZACION,
2732256,"REPARACION DE DEFENSA RIBEREÑA; EN EL(LA) DE LA DEFENSA RIVEREÑA DEL SECTOR MARGEN IZQUIERDA DE LA QUEBRADA CASITAS ALTURA DE CHERRELIQUE DISTRITO DE CASITAS, PROVINCIA CONTRALMIRANTE VILLAR, DEPARTAMENTO TUMBES",IOARR,MUNICIPALIDAD PROVINCIAL DE  CONTRALMIRANTE VILLAR,TUMBES,"S/15,291,832.92",FICHA IOARR,-3.55731903375401 / -80.45237098566734,PRIORIZACION,
2652776,"MEJORAMIENTO DE LOS SERVICIOS DE PREVENCIÓN, PREPARACIÓN Y RESPUESTA A DESASTRES, INCENDIOS, EMERGENCIAS, RESCATES Y OTROS. EN LA COMPAÑIA DE BOMBEROS B89 DEL DISTRITO DE ZARUMILLA DE LA PROVINCIA DE ZARUMILLA DEL DEPARTAMENTO DE TUMBES",Proyecto de Inversión ,MUNICIPALIDAD PROVINCIAL DE ZARUMILLA,TUMBES,"S/6,718,707.71",PERFIL TECNICO,-17.206743926865077/-70.95120271414065,PRIORIZACION,
2349974,"MEJORAMIENTO DEL SERVICIO DE LIMPIEZA PUBLICA EN EL DISTRITO DE ZARUMILLA Y DE LA DISPOSICIÓN FINAL DE LOS RESIDUOS SÓLIDOS MUNICIPALES DE LOS DISTRITOS DE ZARUMILLA, AGUAS VERDES, MATAPALO Y PAPAYAL DE LA PROVINCIA DE ZARUMILLA-TUMBES ZARUMILLA DEL DISTRITO DE ZARUMILLA - PROVINCIA DE ZARUMILLA - DEPARTAMENTO DE TUMBES",Proyecto de Inversión ,MUNICIPALIDAD PROVINCIAL DE ZARUMILLA,TUMBES,"S/22,605,003.39",EXPEDIENTE TECNICO,-8.061207499645226/ -79.05535617726463,PRIORIZACION,
